edge_id,network_id,context_id,spec_id,from,to,edge_a,edge_b,weight,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot,edge_instance_id,from_node_instance_id,to_node_instance_id
net_g05_w55_low__USE2_HANDWASH20__USE2_SPACE150,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,0.230419916269903,0.230419916269903,behavior,behavior,non_focal,non_focal,0.230419916269903,0.2294452005884363,0.0545075681968826,0.1229116979886174,0.3354015735040455,1.0,1000.0,net_g05_w55_low__USE2_HANDWASH20__USE2_SPACE150,net_g05_w55_low__USE2_HANDWASH20,net_g05_w55_low__USE2_SPACE150
net_g05_w55_low__SEVERITY__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY,WORRY_HEALTH_SYSTEM,0.186739468978733,0.186739468978733,belief,affect,focal_belief,non_focal,0.1867394689787333,0.1774991519703076,0.0525086459611668,0.0750740219956938,0.2783941274926159,0.999,1000.0,net_g05_w55_low__SEVERITY__WORRY_HEALTH_SYSTEM,net_g05_w55_low__SEVERITY,net_g05_w55_low__WORRY_HEALTH_SYSTEM
net_g05_w55_low__USE2_AVOID__USE2_MASK,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_AVOID,USE2_MASK,USE2_AVOID,USE2_MASK,0.158321021438952,0.158321021438952,behavior,behavior,non_focal,non_focal,0.158321021438952,0.1546460962447327,0.0421158393133418,0.0733179474688115,0.2374289072076225,1.0,1000.0,net_g05_w55_low__USE2_AVOID__USE2_MASK,net_g05_w55_low__USE2_AVOID,net_g05_w55_low__USE2_MASK
net_g05_w55_low__USE2_HANDWASH20__USE2_MASK,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20,USE2_MASK,0.147115905845485,0.147115905845485,behavior,behavior,non_focal,non_focal,0.147115905845485,0.1478412260667637,0.0508962121850255,0.0487648108880593,0.2394260497961685,0.997,1000.0,net_g05_w55_low__USE2_HANDWASH20__USE2_MASK,net_g05_w55_low__USE2_HANDWASH20,net_g05_w55_low__USE2_MASK
net_g05_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.142127997118949,0.142127997118949,behavior,affect,non_focal,non_focal,0.1421279971189489,0.1408490460491007,0.0441153541217967,0.0527565982156139,0.2226903256706538,0.998,1000.0,net_g05_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_HANDWASH20,net_g05_w55_low__WORRY_HEALTH_SYSTEM
net_g05_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,0.138703681778115,0.138703681778115,behavior,affect,non_focal,non_focal,0.1387036817781154,0.1292001344234071,0.0464944700206214,0.0433032664441815,0.2227315763634419,0.999,1000.0,net_g05_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_MASK,net_g05_w55_low__WORRY_HEALTH_SYSTEM
net_g05_w55_low__USE2_AVOID__USE2_HANDWASH20,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,0.121938536268603,0.121938536268603,behavior,behavior,non_focal,non_focal,0.1219385362686032,0.1229553302407107,0.0439286616071279,0.0374776552913044,0.2056877207352902,0.997,1000.0,net_g05_w55_low__USE2_AVOID__USE2_HANDWASH20,net_g05_w55_low__USE2_AVOID,net_g05_w55_low__USE2_HANDWASH20
net_g05_w55_low__AFF_WORRY__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.111052337322037,0.111052337322037,affect,affect,non_focal,non_focal,0.1110523373220375,0.1050543876143805,0.0535251092154189,0.0,0.2130294056720399,0.974,1000.0,net_g05_w55_low__AFF_WORRY__WORRY_HEALTH_SYSTEM,net_g05_w55_low__AFF_WORRY,net_g05_w55_low__WORRY_HEALTH_SYSTEM
net_g05_w55_low__AFF_FEAR__USE2_AVOID,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_FEAR,USE2_AVOID,AFF_FEAR,USE2_AVOID,0.10736777239394,0.10736777239394,affect,behavior,non_focal,non_focal,0.1073677723939404,0.105784908178024,0.0480485729121171,0.0134452759717374,0.2010638144082882,0.991,1000.0,net_g05_w55_low__AFF_FEAR__USE2_AVOID,net_g05_w55_low__AFF_FEAR,net_g05_w55_low__USE2_AVOID
net_g05_w55_low__AFF_FEAR__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.0958657154296311,0.0958657154296311,affect,affect,non_focal,non_focal,0.095865715429631,0.1040291933493733,0.048751658639964,0.0133841705234474,0.2004498030827633,0.986,1000.0,net_g05_w55_low__AFF_FEAR__WORRY_HEALTH_SYSTEM,net_g05_w55_low__AFF_FEAR,net_g05_w55_low__WORRY_HEALTH_SYSTEM
