wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind
55,low,g05,False,376,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK -- WORRY_HEALTH_SYSTEM,0.138703681778115,0.138703681778115,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID -- USE2_HANDWASH20,0.121938536268603,0.121938536268603,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,low,g05,False,376,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY -- WORRY_HEALTH_SYSTEM,0.111052337322037,0.111052337322037,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,low,g05,False,376,AFF_FEAR,USE2_AVOID,AFF_FEAR -- USE2_AVOID,0.10736777239394,0.10736777239394,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR -- WORRY_HEALTH_SYSTEM,0.0958657154296311,0.0958657154296311,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,low,g05,False,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0823438191047631,0.0823438191047631,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,low,g05,False,376,AFF_WORRY,USE2_SPACE150,AFF_WORRY -- USE2_SPACE150,0.0705413622572092,0.0705413622572092,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,AFF_WORRY,USE2_AVOID,AFF_WORRY -- USE2_AVOID,0.0624861121290443,0.0624861121290443,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID -- WORRY_HEALTH_SYSTEM,0.031643810010475,0.031643810010475,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0173270098917509,0.0173270098917509,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,low,g05,False,376,AFF_WORRY,USE2_MASK,AFF_WORRY -- USE2_MASK,0.0155628239941265,0.0155628239941265,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
55,low,g05,False,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0149954739223753,0.0149954739223753,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,low,g05,False,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0136813275947072,0.0136813275947072,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
