wave,trust_stratum,spec,n_cc,GS,n_edges_total,n_edges_nonzero,mean_abs_edge,median_abs_edge,max_abs_edge,S_SEVERITY,S_aff,S_beh,n_focal_neighbors_nonzero,top_neighbor,top_neighbor_domain,top_abs_weight,P_aff,P_beh,focal_share_of_global,S_SEVERITY_high_minus_low,S_aff_high_minus_low,S_beh_high_minus_low,P_aff_high_minus_low,P_beh_high_minus_low,GS_high_minus_low,focal_share_of_global_high_minus_low,focal_domain_dominance,network_density_proxy
56,high,g05_thr,351,2.154362415652146,28,9,0.07694151484471949,0.0,0.562066156177224,0.351986479771651,0.204369172564096,0.147617307207555,2,AFF_FEAR,affect,0.204369172564096,0.5806165415690945,0.41938345843090563,0.16338313238958976,-0.28050489545271395,-0.27467609382705194,-0.005828801625661989,-0.17677760664552,0.17677760664552003,-0.6466592669463189,-0.06242425037854804,affect-dominant,0.32142857142857145
56,high,g075,351,2.655841500053316,28,21,0.09485148214476129,0.06701971480179085,0.531144423692983,0.5026123192603923,0.2067934756979987,0.29581884356239363,5,AFF_FEAR,affect,0.184472929324428,0.41143734002043747,0.5885626599795626,0.18924785957682427,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,behavior-dominant,0.75
56,low,g05,383,3.048761162690582,28,21,0.10888432723894936,0.0558845399148213,0.522142337680245,0.7169607858782181,0.5428090825932392,0.1741517032849789,5,AFF_WORRY,affect,0.25053034016802,0.757097310319898,0.24290268968010204,0.23516462839138516,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,affect-dominant,0.75
56,low,g05_spearman,383,3.040318121301163,28,20,0.1085827900464701,0.051063172788505154,0.531702417744227,0.6832648679377467,0.5251107473534317,0.158154120584315,4,AFF_FEAR,affect,0.244316734085197,0.7685317539277833,0.2314682460722167,0.2247346628468373,-0.15186799954920016,-0.285117758438596,0.13324975888939594,-0.31690510124800547,0.31690510124800575,-0.2299647961796616,-0.0356492323287467,affect-dominant,0.7142857142857143
56,low,g05_thr,383,2.801021682598465,28,12,0.10003648866423089,0.0,0.53437294504503,0.6324913752243649,0.479045266391148,0.153446108833217,3,AFF_WORRY,affect,0.254913023999908,0.7573941482146145,0.2426058517853856,0.2258073827681378,-0.28050489545271395,-0.27467609382705194,-0.005828801625661989,-0.17677760664552,0.17677760664552003,-0.6466592669463189,-0.06242425037854804,affect-dominant,0.42857142857142855
56,low,g075,383,3.048761162690582,28,21,0.10888432723894936,0.0558845399148213,0.522142337680245,0.7169607858782181,0.5428090825932392,0.1741517032849789,5,AFF_WORRY,affect,0.25053034016802,0.757097310319898,0.24290268968010204,0.23516462839138516,-0.2143484666178258,-0.33601560689524057,0.12166714027741474,-0.34565997029946055,0.34565997029946055,-0.39291966263726597,-0.04591676881456089,affect-dominant,0.75
57,high,g05,407,2.3034422464639666,28,17,0.08226579451657023,0.0517917029993084,0.474336665165375,0.36362852937899964,0.32281250399744876,0.0408160253815509,3,AFF_FEAR,affect,0.228946825539151,0.8877535119390769,0.11224648806092308,0.15786309812508165,-0.19058055919677613,-0.08450247130187932,-0.10607808789489678,0.1528053061165071,-0.1528053061165071,-0.9615881722687787,-0.011877767196130484,affect-dominant,0.6071428571428571
57,high,g05_spearman,407,1.9992224590724434,28,16,0.07140080210973013,0.04369198366709615,0.483318566836444,0.3146524110365,0.3146524110365,0.0,2,AFF_FEAR,affect,0.191057018010504,1.0,0.0,0.1573873930880537,-0.19171286472470128,-0.078189250539617,-0.1135236141850843,0.2241931262257827,-0.22419312622578277,-1.1320857788042609,-0.004323060592661049,affect-dominant,0.5714285714285714
57,high,g05_thr,407,1.655713876759012,28,6,0.059132638455679,0.0,0.503035074330785,0.244663534192224,0.244663534192224,0.0,1,AFF_FEAR,affect,0.244663534192224,1.0,0.0,0.14776921159297296,-0.08154374683972901,-0.08154374683972901,0.0,0.0,0.0,-1.2647814943599838,0.03607333826345428,affect-dominant,0.21428571428571427
57,high,g075,407,2.3034422464639666,28,17,0.08226579451657023,0.0517917029993084,0.474336665165375,0.36362852937899964,0.32281250399744876,0.0408160253815509,3,AFF_FEAR,affect,0.228946825539151,0.8877535119390769,0.11224648806092308,0.15786309812508165,-0.19058055919677613,-0.08450247130187932,-0.10607808789489678,0.1528053061165071,-0.1528053061165071,-0.9615881722687787,-0.011877767196130484,affect-dominant,0.6071428571428571
57,low,g05,336,3.2650304187327452,28,22,0.11660822924045519,0.06747186887430015,0.669542306680917,0.5542090885757758,0.4073149752993281,0.1468941132764477,5,AFF_WORRY,affect,0.181542860019941,0.7349482058225698,0.2650517941774302,0.16974086532121213,-0.19058055919677613,-0.08450247130187932,-0.10607808789489678,0.1528053061165071,-0.1528053061165071,-0.9615881722687787,-0.011877767196130484,affect-dominant,0.7857142857142857
57,low,g05_spearman,336,3.1313082378767043,28,20,0.11183243706702516,0.0762826591593101,0.633520007793898,0.5063652757612013,0.392841661576117,0.1135236141850843,5,AFF_WORRY,affect,0.164149863157858,0.7758068737742173,0.22419312622578277,0.16171045368071474,-0.19171286472470128,-0.078189250539617,-0.1135236141850843,0.2241931262257827,-0.22419312622578277,-1.1320857788042609,-0.004323060592661049,affect-dominant,0.7142857142857143
57,low,g05_thr,336,2.920495371118996,28,12,0.1043034061113927,0.0,0.67431879846331,0.326207281031953,0.326207281031953,0.0,2,AFF_WORRY,affect,0.181923687523036,1.0,0.0,0.11169587332951868,-0.08154374683972901,-0.08154374683972901,0.0,0.0,0.0,-1.2647814943599838,0.03607333826345428,affect-dominant,0.42857142857142855
57,low,g075,336,3.2650304187327452,28,22,0.11660822924045519,0.06747186887430015,0.669542306680917,0.5542090885757758,0.4073149752993281,0.1468941132764477,5,AFF_WORRY,affect,0.181542860019941,0.7349482058225698,0.2650517941774302,0.16974086532121213,-0.19058055919677613,-0.08450247130187932,-0.10607808789489678,0.1528053061165071,-0.1528053061165071,-0.9615881722687787,-0.011877767196130484,affect-dominant,0.7857142857142857
