wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight,focal_rank_within_context
57,low,g05_thr,336,AFF_WORRY,affect,0.182,0.182,1
57,low,g05_thr,336,WORRY_HEALTH_SYSTEM,affect,0.144,0.144,2
57,low,g05_thr,336,AFF_FEAR,affect,0.0,0.0,3
57,low,g05_thr,336,USE2_MASK,behavior,0.0,0.0,4
57,low,g05_thr,336,USE2_SPACE150,behavior,0.0,0.0,5
57,low,g05_thr,336,USE2_HANDWASH20,behavior,0.0,0.0,6
57,low,g05_thr,336,USE2_AVOID,behavior,0.0,0.0,7
57,low,g075,336,AFF_WORRY,affect,0.182,0.182,1
57,low,g075,336,WORRY_HEALTH_SYSTEM,affect,0.142,0.142,2
57,low,g075,336,USE2_AVOID,behavior,0.095,0.095,3
57,low,g075,336,AFF_FEAR,affect,0.084,0.084,4
57,low,g075,336,USE2_SPACE150,behavior,0.052,0.052,5
57,low,g075,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g075,336,USE2_HANDWASH20,behavior,0.0,0.0,7
