wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
57,high,407,g05,AFF_FEAR,USE2_AVOID,0.0797709435878751,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,AFF_FEAR,USE2_AVOID,net_g05_w57_high__AFF_FEAR__USE2_AVOID,0.0797709435878751,affect,behavior,non_focal,non_focal
57,high,407,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0776069830385028,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w57_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.0776069830385028,behavior,affect,non_focal,non_focal
57,high,407,g05,AFF_WORRY,USE2_SPACE150,0.0424758401645531,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,AFF_WORRY,USE2_SPACE150,net_g05_w57_high__AFF_WORRY__USE2_SPACE150,0.0424758401645531,affect,behavior,non_focal,non_focal
57,high,407,g05,SEVERITY,USE2_HANDWASH20,0.0408160253815509,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,SEVERITY,USE2_HANDWASH20,net_g05_w57_high__SEVERITY__USE2_HANDWASH20,0.0408160253815509,belief,behavior,focal_belief,non_focal
57,low,336,g05,USE2_MASK,WORRY_HEALTH_SYSTEM,0.170560378136817,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_w57_low__USE2_MASK__WORRY_HEALTH_SYSTEM,0.170560378136817,behavior,affect,non_focal,non_focal
57,low,336,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.149327883262226,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w57_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.149327883262226,behavior,affect,non_focal,non_focal
57,low,336,g05,SEVERITY,USE2_AVOID,0.0950565129638646,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,SEVERITY,USE2_AVOID,net_g05_w57_low__SEVERITY__USE2_AVOID,0.0950565129638646,belief,behavior,focal_belief,non_focal
57,low,336,g05,AFF_WORRY,USE2_MASK,0.0831061374360172,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,AFF_WORRY,USE2_MASK,net_g05_w57_low__AFF_WORRY__USE2_MASK,0.0831061374360172,affect,behavior,non_focal,non_focal
57,low,336,g05,SEVERITY,USE2_SPACE150,0.0518376003125831,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,SEVERITY,USE2_SPACE150,net_g05_w57_low__SEVERITY__USE2_SPACE150,0.0518376003125831,belief,behavior,focal_belief,non_focal
57,low,336,g05,AFF_FEAR,USE2_AVOID,0.0176108244129714,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,AFF_FEAR,USE2_AVOID,net_g05_w57_low__AFF_FEAR__USE2_AVOID,0.0176108244129714,affect,behavior,non_focal,non_focal
