spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_HANDWASH20__USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,0.230419916269903,0.22944520058843632,0.054507568196882614,0.12291169798861748,0.3354015735040455,1,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__SEVERITY__WORRY_HEALTH_SYSTEM,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY,WORRY_HEALTH_SYSTEM,0.18673946897873334,0.1774991519703076,0.052508645961166805,0.07507402199569382,0.2783941274926159,0.999,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_AVOID__USE2_MASK,USE2_AVOID,USE2_MASK,USE2_AVOID,USE2_MASK,0.15832102143895202,0.15464609624473277,0.04211583931334185,0.07331794746881153,0.23742890720762255,1,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_HANDWASH20__USE2_MASK,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20,USE2_MASK,0.147115905845485,0.14784122606676378,0.050896212185025595,0.048764810888059326,0.2394260497961685,0.997,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.14212799711894894,0.14084904604910073,0.04411535412179672,0.05275659821561398,0.22269032567065383,0.998,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK,WORRY_HEALTH_SYSTEM,0.13870368177811543,0.1292001344234071,0.04649447002062145,0.04330326644418159,0.22273157636344196,0.999,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_AVOID__USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,0.12193853626860328,0.12295533024071077,0.04392866160712795,0.037477655291304486,0.2056877207352902,0.997,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.1110523373220375,0.10505438761438053,0.053525109215418976,0,0.21302940567203996,0.974,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__USE2_AVOID,AFF_FEAR,USE2_AVOID,AFF_FEAR,USE2_AVOID,0.10736777239394048,0.10578490817802408,0.0480485729121171,0.013445275971737497,0.2010638144082882,0.991,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.09586571542963106,0.10402919334937338,0.04875165863996404,0.013384170523447472,0.20044980308276336,0.986,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__SEVERITY,AFF_WORRY,SEVERITY,AFF_WORRY,SEVERITY,0.08234381910476314,0.08253455990507365,0.05675069613397747,0,0.2012810029009173,0.893,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__USE2_SPACE150,AFF_WORRY,USE2_SPACE150,AFF_WORRY,USE2_SPACE150,0.07054136225720918,0.062399039251862465,0.037205248532653494,0,0.1395770563511614,0.935,1000
