spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05,57,AFF_WORRY,USE2_SPACE150,0.0424758401645531,0.0424758401645531,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,SEVERITY,USE2_HANDWASH20,0.0408160253815509,0.0408160253815509,336,407,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,USE2_MASK,USE2_HANDWASH20,-0.033645331325206,0.033645331325206,336,407,behavior,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,USE2_MASK,USE2_AVOID,0.03363397074480701,0.03363397074480701,336,407,behavior,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_FEAR,USE2_MASK,0.0173779072867365,0.0173779072867365,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_WORRY,USE2_HANDWASH20,-0.0162213900096129,0.0162213900096129,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_WORRY,USE2_AVOID,-0.0110123122934447,0.0110123122934447,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_FEAR,WORRY_HEALTH_SYSTEM,-0.001600912086519704,0.001600912086519704,336,407,affect,affect,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,SEVERITY,USE2_MASK,0,0,336,407,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_FEAR,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05,57,AFF_FEAR,USE2_HANDWASH20,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w57_high_minus_low
g05_spearman,55,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,-0.1582655286426209,0.1582655286426209,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
