wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
55,low,376,g05,AFF_FEAR,USE2_AVOID,0.10736777239394,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_FEAR,USE2_AVOID,net_g05_w55_low__AFF_FEAR__USE2_AVOID,0.10736777239394,affect,behavior,non_focal,non_focal,0.10736777239394048,0.10578490817802408,0.0480485729121171,0.013445275971737497,0.2010638144082882,0.991,1000
55,low,376,g05,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.0958657154296311,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_FEAR,WORRY_HEALTH_SYSTEM,net_g05_w55_low__AFF_FEAR__WORRY_HEALTH_SYSTEM,0.0958657154296311,affect,affect,non_focal,non_focal,0.09586571542963106,0.10402919334937338,0.04875165863996404,0.013384170523447472,0.20044980308276336,0.986,1000
55,low,376,g05,AFF_WORRY,SEVERITY,0.0823438191047631,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,SEVERITY,net_g05_w55_low__AFF_WORRY__SEVERITY,0.0823438191047631,affect,belief,non_focal,focal_belief,0.08234381910476314,0.08253455990507365,0.05675069613397747,0,0.2012810029009173,0.893,1000
55,low,376,g05,AFF_WORRY,USE2_SPACE150,0.0705413622572092,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,USE2_SPACE150,net_g05_w55_low__AFF_WORRY__USE2_SPACE150,0.0705413622572092,affect,behavior,non_focal,non_focal,0.07054136225720918,0.062399039251862465,0.037205248532653494,0,0.1395770563511614,0.935,1000
55,low,376,g05,AFF_WORRY,USE2_AVOID,0.0624861121290443,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,USE2_AVOID,net_g05_w55_low__AFF_WORRY__USE2_AVOID,0.0624861121290443,affect,behavior,non_focal,non_focal,0.06248611212904433,0.06108982381939752,0.043938568343834916,0,0.14871460123497615,0.865,1000
55,low,376,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.031643810010475,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.031643810010475,behavior,affect,non_focal,non_focal,0.031643810010474976,0.03622521080570778,0.03884362696027559,0,0.1239944066592914,0.678,1000
55,low,376,g05,SEVERITY,USE2_MASK,0.0173270098917509,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_MASK,net_g05_w55_low__SEVERITY__USE2_MASK,0.0173270098917509,belief,behavior,focal_belief,non_focal,0.017327009891750893,0.019740927006547677,0.030635135540138723,0,0.09630302308248387,0.519,1000
55,low,376,g05,AFF_WORRY,USE2_MASK,0.0155628239941265,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,USE2_MASK,net_g05_w55_low__AFF_WORRY__USE2_MASK,0.0155628239941265,affect,behavior,non_focal,non_focal,0.015562823994126534,0.0227561209482099,0.027814643854107444,0,0.0910241637263111,0.608,1000
55,low,376,g05,SEVERITY,USE2_AVOID,0.0149954739223753,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_AVOID,net_g05_w55_low__SEVERITY__USE2_AVOID,0.0149954739223753,belief,behavior,focal_belief,non_focal,0.014995473922375263,0.019809830088187173,0.03103393358517873,0,0.10171375832242642,0.503,1000
55,low,376,g05,SEVERITY,USE2_SPACE150,0.0136813275947072,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_SPACE150,net_g05_w55_low__SEVERITY__USE2_SPACE150,0.0136813275947072,belief,behavior,focal_belief,non_focal,0.013681327594707233,0.01671283132979069,0.026431767489791452,0,0.08588975916011869,0.473,1000
55,low,376,g05,SEVERITY,USE2_HANDWASH20,0.00463087068002591,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_HANDWASH20,net_g05_w55_low__SEVERITY__USE2_HANDWASH20,0.00463087068002591,belief,behavior,focal_belief,non_focal,0.00463087068002591,0.020423015413640503,0.03117619338102254,0,0.10120506933497096,0.487,1000
56,high,351,g05,AFF_FEAR,AFF_WORRY,0.531144423692983,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_FEAR,AFF_WORRY,net_g05_w56_high__AFF_FEAR__AFF_WORRY,0.531144423692983,affect,affect,non_focal,non_focal,0.5311444236929834,0.5273308528113584,0.04619923371853825,0.43647327032533795,0.6201798938042724,1,1000
