spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_spearman,55,SEVERITY,USE2_MASK,0,0,376,309,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_MASK,-0.120958932741573,0.120958932741573,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,0.112993671753183,0.112993671753183,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_SPACE150,0.0852825860087156,0.0852825860087156,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_MASK,0.0833073686622762,0.0833073686622762,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_AVOID,0.0726588395633539,0.0726588395633539,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_HANDWASH20,0.0678780483034123,0.0678780483034123,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_FEAR,USE2_AVOID,0.0409882686556043,0.0409882686556043,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_AVOID,0.0351557119456085,0.0351557119456085,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,WORRY_HEALTH_SYSTEM,USE2_SPACE150,-0.0237807288011251,0.0237807288011251,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_SPACE150,-0.0229914138579841,0.0229914138579841,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_AVOID,-0.019910875422731983,0.019910875422731983,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_FEAR,USE2_SPACE150,0.0101629509473671,0.0101629509473671,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_WORRY,USE2_HANDWASH20,0.0100115468308313,0.0100115468308313,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,SEVERITY,USE2_MASK,0,0,383,351,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_FEAR,USE2_MASK,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,56,AFF_FEAR,USE2_HANDWASH20,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w56_high_minus_low
g05_spearman,57,SEVERITY,USE2_AVOID,-0.0985463956030512,0.0985463956030512,336,407,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_WORRY,USE2_MASK,-0.095863208323623,0.095863208323623,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.08403688539673229,0.08403688539673229,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
